gene,degree_AD,strength_AD,degree_ctrl,strength_ctrl,delta_degree,delta_strength,ratio_degree,jaccard_neighbors,rewiring_score,region,cohort
ENSG00000011677,560,288.736377,360,171.574861,200,117.161516,1.55555555555556,0.52317880794702,0.47682119205298,DLPFC,ROSMAP
ENSG00000021645,190,93.097684,145,65.818121,45,27.279563,1.31034482758621,0.565420560747664,0.434579439252336,DLPFC,ROSMAP
ENSG00000022355,564,290.896655,349,163.608477,215,127.288178,1.61604584527221,0.516611295681063,0.483388704318937,DLPFC,ROSMAP
ENSG00000100362,3,1.333125,0,0,3,1.333125,,0,1,DLPFC,ROSMAP
ENSG00000101438,95,45.103593,165,75.191421,-70,-30.087828,0.575757575757576,0.361256544502618,0.638743455497382,DLPFC,ROSMAP
ENSG00000104327,54,25.099865,29,12.473338,25,12.626527,1.86206896551724,0.238805970149254,0.761194029850746,DLPFC,ROSMAP
ENSG00000109158,455,228.883228,324,153.8732,131,75.0100280000001,1.40432098765432,0.551792828685259,0.448207171314741,DLPFC,ROSMAP
ENSG00000113327,824,444.598543,758,380.598936,66,63.9996070000005,1.08707124010554,0.635987590486039,0.364012409513961,DLPFC,ROSMAP
ENSG00000128683,299,147.232284,140,64.346166,159,82.886118,2.13571428571429,0.407051282051282,0.592948717948718,DLPFC,ROSMAP
ENSG00000131089,532,274.747561,517,252.846885,15,21.900676,1.02901353965184,0.654574132492114,0.345425867507886,DLPFC,ROSMAP
ENSG00000136750,255,123.384317,105,48.318619,150,75.065698,2.42857142857143,0.353383458646617,0.646616541353384,DLPFC,ROSMAP
ENSG00000136928,66,31.940389,95,43.677842,-29,-11.737453,0.694736842105263,0.477064220183486,0.522935779816514,DLPFC,ROSMAP
ENSG00000145864,579,296.444341,265,122.49676,314,173.947581,2.18490566037736,0.416107382550336,0.583892617449664,DLPFC,ROSMAP
ENSG00000146469,0,0,3,1.344081,-3,-1.344081,0,0,1,DLPFC,ROSMAP
ENSG00000150995,198,95.705102,225,104.442797,-27,-8.73769499999997,0.88,0.566666666666667,0.433333333333333,DLPFC,ROSMAP
ENSG00000151834,0,0,1,0.417914,-1,-0.417914,0,0,1,DLPFC,ROSMAP
ENSG00000157005,2,0.895652,0,0,2,0.895652,,0,1,DLPFC,ROSMAP
ENSG00000157103,0,0,1,0.457815,-1,-0.457815,0,0,1,DLPFC,ROSMAP
ENSG00000163285,19,9.165518,26,11.700757,-7,-2.535239,0.730769230769231,0.451612903225806,0.548387096774194,DLPFC,ROSMAP
ENSG00000166206,594,307.325778,527,256.72683,67,50.598948,1.12713472485769,0.646108663729809,0.353891336270191,DLPFC,ROSMAP
ENSG00000169992,0,0,7,3.088161,-7,-3.088161,0,0,1,DLPFC,ROSMAP
ENSG00000171723,1,0.446211,0,0,1,0.446211,,0,1,DLPFC,ROSMAP
ENSG00000172137,0,0,1,0.497895,-1,-0.497895,0,0,1,DLPFC,ROSMAP
ENSG00000179915,109,51.579859,45,19.944841,64,31.635018,2.42222222222222,0.283333333333333,0.716666666666667,DLPFC,ROSMAP
ENSG00000182256,14,6.547126,13,5.595996,1,0.951129999999999,1.07692307692308,0.421052631578947,0.578947368421053,DLPFC,ROSMAP
ENSG00000183044,0,0,1,0.477625,-1,-0.477625,0,0,1,DLPFC,ROSMAP
ENSG00000186297,20,9.327248,9,3.900501,11,5.426747,2.22222222222222,0.208333333333333,0.791666666666667,DLPFC,ROSMAP
ENSG00000187094,245,118.068987,213,95.677551,32,22.391436,1.15023474178404,0.422360248447205,0.577639751552795,DLPFC,ROSMAP
ENSG00000187730,412,205.922439,456,216.377456,-44,-10.4550169999999,0.903508771929825,0.622429906542056,0.377570093457944,DLPFC,ROSMAP
ENSG00000196338,0,0,1,0.421308,-1,-0.421308,0,0,1,DLPFC,ROSMAP
ENSG00000021645,140,76.132922,232,111.164065,-92,-35.0311430000001,0.603448275862069,0.464566929133858,0.535433070866142,HCN,ROSMAP
ENSG00000022355,186,101.547044,261,128.629958,-75,-27.082914,0.71264367816092,0.480132450331126,0.519867549668874,HCN,ROSMAP
ENSG00000101438,444,251.293542,284,139.407955,160,111.885587,1.56338028169014,0.575757575757576,0.424242424242424,HCN,ROSMAP
ENSG00000104327,64,34.226002,111,53.440908,-47,-19.214906,0.576576576576577,0.377952755905512,0.622047244094488,HCN,ROSMAP
ENSG00000109158,122,65.40282,154,72.50882,-32,-7.10600000000001,0.792207792207792,0.415384615384615,0.584615384615385,HCN,ROSMAP
ENSG00000113327,459,263.598998,391,197.038781,68,66.5602169999999,1.17391304347826,0.634615384615385,0.365384615384615,HCN,ROSMAP
ENSG00000128683,355,198.508011,265,128.727918,90,69.7800929999999,1.33962264150943,0.557788944723618,0.442211055276382,HCN,ROSMAP
ENSG00000131089,806,477.449244999999,675,353.865737,131,123.583507999999,1.19407407407407,0.677236693091733,0.322763306908267,HCN,ROSMAP
ENSG00000136750,326,180.231561,219,105.148927,107,75.082634,1.48858447488584,0.543909348441926,0.456090651558074,HCN,ROSMAP
ENSG00000145864,241,132.357378,264,129.13288,-23,3.22449799999993,0.912878787878788,0.578125,0.421875,HCN,ROSMAP
ENSG00000150995,103,54.868779,46,21.22566,57,33.643119,2.23913043478261,0.273504273504274,0.726495726495727,HCN,ROSMAP
ENSG00000163285,0,0,1,0.44249,-1,-0.44249,0,0,1,HCN,ROSMAP
ENSG00000166206,498,284.421429,547,284.547896,-49,-0.126466999999934,0.910420475319927,0.615146831530139,0.384853168469861,HCN,ROSMAP
ENSG00000169992,269,146.111967,78,36.437405,191,109.674562,3.44871794871795,0.204861111111111,0.795138888888889,HCN,ROSMAP
ENSG00000186297,4,2.158129,2,1.029144,2,1.128985,2,0.5,0.5,HCN,ROSMAP
ENSG00000187730,529,301.447513,541,279.749641,-12,21.6978720000004,0.977818853974122,0.687697160883281,0.312302839116719,HCN,ROSMAP
ENSG00000204681,4,2.075161,8,3.684233,-4,-1.609072,0.5,0,1,HCN,ROSMAP
ENSG00000011677,115,60.859761,78,41.522184,37,19.337577,1.47435897435897,0.34965034965035,0.65034965034965,PCC,ROSMAP
ENSG00000021645,0,0,1,0.540558,-1,-0.540558,0,0,1,PCC,ROSMAP
ENSG00000022355,172,93.016872,186,100.805763,-14,-7.78889100000004,0.924731182795699,0.570175438596491,0.429824561403509,PCC,ROSMAP
ENSG00000101438,2,1.217357,4,2.314059,-2,-1.096702,0.5,0.5,0.5,PCC,ROSMAP
ENSG00000109158,22,11.153556,26,13.596757,-4,-2.443201,0.846153846153846,0.230769230769231,0.769230769230769,PCC,ROSMAP
ENSG00000113327,167,90.214824,159,84.527887,8,5.686937,1.05031446540881,0.58252427184466,0.41747572815534,PCC,ROSMAP
ENSG00000128683,3,1.798752,4,2.341366,-1,-0.542614,0.75,0.4,0.6,PCC,ROSMAP
ENSG00000131089,511,277.578574,527,286.811973,-16,-9.23339899999968,0.969639468690702,0.634645669291339,0.365354330708661,PCC,ROSMAP
ENSG00000136750,3,1.841401,7,3.935285,-4,-2.093884,0.428571428571429,0.428571428571429,0.571428571428571,PCC,ROSMAP
ENSG00000136928,56,29.016146,9,4.645815,47,24.370331,6.22222222222222,0.101694915254237,0.898305084745763,PCC,ROSMAP
ENSG00000145864,96,51.480963,110,60.254299,-14,-8.77333600000001,0.872727272727273,0.609375,0.390625,PCC,ROSMAP
ENSG00000150995,40,20.405379,13,6.593257,27,13.812122,3.07692307692308,0.127659574468085,0.872340425531915,PCC,ROSMAP
ENSG00000163285,1,0.493706,14,7.195628,-13,-6.701922,0.0714285714285714,0.0714285714285714,0.928571428571429,PCC,ROSMAP
ENSG00000166206,65,33.858848,142,75.570612,-77,-41.711764,0.457746478873239,0.344155844155844,0.655844155844156,PCC,ROSMAP
ENSG00000186297,0,0,1,0.517738,-1,-0.517738,0,0,1,PCC,ROSMAP
ENSG00000187094,97,50.178459,84,43.284352,13,6.89410700000003,1.1547619047619,0.311594202898551,0.688405797101449,PCC,ROSMAP
ENSG00000187730,7,3.497866,40,21.244133,-33,-17.746267,0.175,0.175,0.825,PCC,ROSMAP
ENSG00000011677,619,330.765916,216,109.078587,403,221.687329,2.86574074074074,0.246268656716418,0.753731343283582,TC,Mayo
ENSG00000021645,374,194.565594,202,100.526491,172,94.039103,1.85148514851485,0.285714285714286,0.714285714285714,TC,Mayo
ENSG00000022355,766,415.553351,552,283.192183,214,132.361168,1.38768115942029,0.456353591160221,0.543646408839779,TC,Mayo
ENSG00000100362,2,0.984211,1,0.506112,1,0.478099,2,0,1,TC,Mayo
ENSG00000101438,61,31.124281,215,107.092482,-154,-75.9682010000001,0.283720930232558,0.184549356223176,0.815450643776824,TC,Mayo
ENSG00000104327,1,0.488786,51,24.900104,-50,-24.411318,0.0196078431372549,0.0196078431372549,0.980392156862745,TC,Mayo
ENSG00000109158,737,398.072513,562,286.506629,175,111.565884,1.31138790035587,0.462837837837838,0.537162162162162,TC,Mayo
ENSG00000113327,814,445.306721000001,706,366.588526,108,78.7181950000004,1.15297450424929,0.506442021803766,0.493557978196234,TC,Mayo
ENSG00000128683,36,18.599865,146,72.841159,-110,-54.241294,0.246575342465753,0.174193548387097,0.825806451612903,TC,Mayo
ENSG00000131089,846,462.125839,811,418.259129,35,43.8667099999997,1.04315659679408,0.545708955223881,0.454291044776119,TC,Mayo
ENSG00000136750,65,33.398333,155,77.367997,-90,-43.969664,0.419354838709677,0.208791208791209,0.791208791208791,TC,Mayo
ENSG00000136928,800,436.111581,608,310.930943,192,125.180638,1.31578947368421,0.513978494623656,0.486021505376344,TC,Mayo
ENSG00000145864,664,357.107468,605,313.058616,59,44.048852,1.09752066115702,0.492941176470588,0.507058823529412,TC,Mayo
ENSG00000150995,561,298.247098,315,159.059877,246,139.187221,1.78095238095238,0.356037151702786,0.643962848297214,TC,Mayo
ENSG00000151834,0,0,4,1.968527,-4,-1.968527,0,0,1,TC,Mayo
ENSG00000163285,1,0.489517,16,7.849999,-15,-7.360482,0.0625,0,1,TC,Mayo
ENSG00000163288,0,0,1,0.491131,-1,-0.491131,0,0,1,TC,Mayo
ENSG00000166206,807,440.314415,619,316.821157,188,123.493258,1.30371567043619,0.493193717277487,0.506806282722513,TC,Mayo
ENSG00000172137,0,0,6,2.936748,-6,-2.936748,0,0,1,TC,Mayo
ENSG00000179915,506,265.984467,64,31.346408,442,234.638059,7.90625,0.0458715596330275,0.954128440366972,TC,Mayo
ENSG00000182256,496,262.094804,257,128.641754,239,133.45305,1.92996108949416,0.291595197255575,0.708404802744425,TC,Mayo
ENSG00000186297,21,10.71209,14,6.915042,7,3.797048,1.5,0.0606060606060606,0.939393939393939,TC,Mayo
ENSG00000187094,36,17.932254,177,88.496223,-141,-70.563969,0.203389830508475,0.0703517587939699,0.92964824120603,TC,Mayo
ENSG00000187730,332,172.275579,146,72.832199,186,99.44338,2.27397260273973,0.281501340482574,0.718498659517426,TC,Mayo
ENSG00000011677,55,23.094993,164,70.803939,-109,-47.708946,0.335365853658537,0.327272727272727,0.672727272727273,CRB,Mayo
ENSG00000022355,10,3.902454,19,7.468241,-9,-3.565787,0.526315789473684,0.115384615384615,0.884615384615385,CRB,Mayo
ENSG00000100362,148,63.065194,112,46.194917,36,16.870277,1.32142857142857,0.547619047619048,0.452380952380952,CRB,Mayo
ENSG00000101438,173,74.21946,286,124.797719,-113,-50.578259,0.604895104895105,0.45253164556962,0.54746835443038,CRB,Mayo
ENSG00000104327,155,70.936756,168,74.661117,-13,-3.72436099999999,0.922619047619048,0.639593908629442,0.360406091370558,CRB,Mayo
ENSG00000113327,14,5.645264,152,61.652236,-138,-56.006972,0.0921052631578947,0.0641025641025641,0.935897435897436,CRB,Mayo
ENSG00000128683,171,73.941668,243,106.62216,-72,-32.680492,0.703703703703704,0.550561797752809,0.449438202247191,CRB,Mayo
ENSG00000131089,16,6.203463,193,76.985455,-177,-70.781992,0.0829015544041451,0.0663265306122449,0.933673469387755,CRB,Mayo
ENSG00000132164,23,9.082882,21,8.153679,2,0.929202999999999,1.0952380952381,0.1,0.9,CRB,Mayo
ENSG00000136750,149,62.566838,241,105.715682,-92,-43.1488440000001,0.618257261410788,0.397849462365591,0.602150537634409,CRB,Mayo
ENSG00000136928,7,2.760658,94,37.367087,-87,-34.606429,0.074468085106383,0.0520833333333333,0.947916666666667,CRB,Mayo
ENSG00000145864,11,4.111872,235,95.6779999999999,-224,-91.5661279999999,0.0468085106382979,0.0336134453781513,0.966386554621849,CRB,Mayo
ENSG00000150995,160,71.734695,170,75.59185,-10,-3.85715499999998,0.941176470588235,0.6751269035533,0.324873096446701,CRB,Mayo
ENSG00000151834,12,4.774234,71,29.31202,-59,-24.537786,0.169014084507042,0.152777777777778,0.847222222222222,CRB,Mayo
ENSG00000157005,56,24.701376,0,0,56,24.701376,,0,1,CRB,Mayo
ENSG00000157103,4,1.471135,37,14.632843,-33,-13.161708,0.108108108108108,0,1,CRB,Mayo
ENSG00000163285,89,36.292404,160,67.308307,-71,-31.015903,0.55625,0.368131868131868,0.631868131868132,CRB,Mayo
ENSG00000163288,16,6.253853,50,20.222059,-34,-13.968206,0.32,0.2,0.8,CRB,Mayo
ENSG00000166206,117,45.803218,199,80.264091,-82,-34.460873,0.587939698492462,0.215384615384615,0.784615384615385,CRB,Mayo
ENSG00000171723,241,96.171753,40,16.013101,201,80.158652,6.025,0.0725190839694657,0.927480916030534,CRB,Mayo
ENSG00000179915,16,6.243708,102,40.228227,-86,-33.984519,0.156862745098039,0.0925925925925926,0.907407407407407,CRB,Mayo
ENSG00000183044,0,0,7,2.704537,-7,-2.704537,0,0,1,CRB,Mayo
ENSG00000186297,77,31.167906,11,4.443545,66,26.724361,7,0.1,0.9,CRB,Mayo
ENSG00000187730,4,1.653504,30,11.851957,-26,-10.198453,0.133333333333333,0.0303030303030303,0.96969696969697,CRB,Mayo
ENSG00000196338,0,0,19,7.704498,-19,-7.704498,0,0,1,CRB,Mayo
